Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
WDAY,Workday Inc. Class A Common Stock,$181.25,2.98,1.672%,46581250000.00,United States,,2066176,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,$35.32,-0.74,-2.052%,11278659591.00,United States,,8290471,Technology,Electronic Components
WMG,Warner Music Group Corp. Class A Common Stock,$29.47,-0.28,-0.941%,15204718587.00,United States,2020,906838,Consumer Discretionary,Movies/Entertainment
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,$227.49,-3.42,-1.481%,24286005246.00,United Kingdom,2001,509383,Finance,Specialty Insurers
WYNN,Wynn Resorts Limited Common stock,$106.25,-2.09,-1.929%,12039569044.00,United States,2002,2652743,Consumer Discretionary,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,$65.30,2.08,3.29%,35735326789.00,United States,,4977253,Utilities,Power Generation
XM,Qualtrics International Inc. Class A Common Stock,$17.68,1.13,6.828%,10499403694.00,United States,2021,48107626,Technology,Computer Software: Prepackaged Software
ZBRA,Zebra Technologies Corporation Class A Common Stock,$284.92,-3.27,-1.135%,14646239091.00,United States,1991,265466,Technology,Computer peripheral equipment
ZM,Zoom Video Communications Inc. Class A Common Stock,$68.67,1.55,2.309%,20073767465.00,United States,2019,4290196,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,$109.86,4.41,4.182%,15843155258.00,United States,2018,3332922,Technology,EDP Services
